GeneName	Biosystems	CGDB	GWAS	GO	McMahon	Confidence
AADAT	NaN	NaN	True	NaN	NaN	Low
AANAT	True	NaN	NaN	True	True	High
AASDH	NaN	True	NaN	NaN	NaN	Low
AATK	NaN	True	NaN	NaN	NaN	Low
ABCA1	NaN	True	NaN	NaN	NaN	Low
ABCA4	NaN	True	NaN	NaN	NaN	Low
ABCB1	NaN	True	NaN	NaN	NaN	Low
ABCD1	NaN	True	NaN	NaN	NaN	Low
ABCD2	NaN	True	NaN	NaN	NaN	Low
ABCG1	NaN	True	NaN	NaN	NaN	Low
ABHD1	NaN	True	NaN	NaN	NaN	Low
ABHD3	NaN	True	NaN	NaN	NaN	Low
ABHD4	NaN	True	NaN	NaN	NaN	Low
ABHD5	NaN	True	NaN	NaN	NaN	Low
ABLIM1	NaN	True	NaN	NaN	NaN	Low
ABLIM2	NaN	True	NaN	NaN	NaN	Low
ABTB1	NaN	True	NaN	NaN	NaN	Low
ACADSB	NaN	True	NaN	NaN	NaN	Low
ACOX1	NaN	True	NaN	NaN	NaN	Low
ACSL1	NaN	True	NaN	NaN	NaN	Low
ACSL6	NaN	True	NaN	NaN	NaN	Low
ACTBP13	NaN	NaN	True	NaN	NaN	Low
ACTG1P22	NaN	NaN	True	NaN	NaN	Low
ACVR1C	NaN	True	NaN	NaN	NaN	Low
ACYP1	NaN	True	NaN	NaN	NaN	Low
ACYP2	NaN	NaN	True	NaN	NaN	Low
ADA	True	NaN	NaN	True	NaN	Medium
ADAL	NaN	True	NaN	NaN	NaN	Low
ADAM10	NaN	NaN	True	NaN	NaN	Low
ADAM17	NaN	True	NaN	NaN	NaN	Low
ADAM33	NaN	True	NaN	NaN	NaN	Low
ADAMTS14	NaN	NaN	True	NaN	NaN	Low
ADAMTSL4	NaN	True	NaN	NaN	NaN	Low
ADAP1	NaN	True	NaN	NaN	NaN	Low
ADAT2	NaN	NaN	True	NaN	NaN	Low
ADCK1	NaN	NaN	True	NaN	NaN	Low
ADCY1	True	NaN	NaN	True	NaN	Medium
ADCY3	NaN	NaN	True	NaN	NaN	Low
ADCY4	NaN	True	NaN	NaN	NaN	Low
ADCY5	NaN	NaN	True	NaN	NaN	Low
ADGRL3	NaN	NaN	True	NaN	NaN	Low
ADH5P2	NaN	NaN	True	NaN	NaN	Low
ADIPOQ	True	True	NaN	True	NaN	High
ADIPOR1	NaN	True	NaN	NaN	NaN	Low
ADIPOR2	NaN	True	NaN	NaN	NaN	Low
ADM	NaN	True	NaN	NaN	NaN	Low
ADORA1	True	NaN	NaN	True	NaN	Medium
ADORA2A	True	NaN	NaN	True	NaN	Medium
ADRA1A	NaN	NaN	NaN	NaN	True	High
ADRA1B	NaN	NaN	NaN	NaN	True	High
ADRB1	NaN	NaN	NaN	True	NaN	Low
AEN	NaN	NaN	True	NaN	NaN	Low
AGBL2	NaN	True	NaN	NaN	NaN	Low
AGK	NaN	True	NaN	NaN	NaN	Low
AGMAT	NaN	True	NaN	NaN	NaN	Low
AGPAT5	NaN	True	NaN	NaN	NaN	Low
AGRP	True	NaN	NaN	True	NaN	Medium
AGTRAP	NaN	True	NaN	NaN	NaN	Low
AHCY	True	NaN	NaN	True	NaN	Medium
AHR	True	NaN	NaN	True	NaN	Medium
AHSA2P	NaN	NaN	True	NaN	NaN	Low
AJAP1	NaN	NaN	True	NaN	NaN	Low
AK3	NaN	True	NaN	NaN	NaN	Low
AK5	NaN	True	True	NaN	NaN	Medium
AK6P1	NaN	NaN	True	NaN	NaN	Low
AK6P2	NaN	NaN	True	NaN	NaN	Low
AKAIN1	NaN	NaN	True	NaN	NaN	Low
AKAP1	NaN	True	NaN	NaN	NaN	Low
AKAP9	NaN	NaN	True	NaN	NaN	Low
ALCAM	NaN	NaN	True	NaN	NaN	Low
ALG10B	NaN	NaN	True	NaN	NaN	Low
ALKBH2	NaN	True	NaN	NaN	NaN	Low
ALKBH3	NaN	NaN	True	NaN	NaN	Low
ALKBH4	NaN	NaN	True	NaN	NaN	Low
ALOX5AP	NaN	True	NaN	NaN	NaN	Low
ALPL	NaN	True	NaN	NaN	NaN	Low
AMELX	NaN	True	NaN	NaN	NaN	Low
AMIGO2	NaN	True	NaN	NaN	NaN	Low
AMIGO3	NaN	True	NaN	NaN	NaN	Low
ANAPC1	NaN	True	NaN	NaN	NaN	Low
ANAPC4	NaN	True	NaN	NaN	NaN	Low
ANGEL2	NaN	True	NaN	NaN	NaN	Low
ANGPT2	NaN	True	NaN	NaN	NaN	Low
ANK1	NaN	NaN	True	NaN	NaN	Low
ANK2	NaN	NaN	True	NaN	NaN	Low
ANK2-AS1	NaN	NaN	True	NaN	NaN	Low
ANK3	NaN	True	True	NaN	NaN	Medium
ANKAR	NaN	True	NaN	NaN	NaN	Low
ANKFN1	NaN	NaN	True	NaN	NaN	Low
ANKIB1	NaN	NaN	True	NaN	NaN	Low
ANKRD13D	NaN	True	NaN	NaN	NaN	Low
ANKRD18A	NaN	True	NaN	NaN	NaN	Low
ANKRD20A2	NaN	True	NaN	NaN	NaN	Low
ANKRD26	NaN	True	NaN	NaN	NaN	Low
ANKRD36	NaN	True	NaN	NaN	NaN	Low
ANKRD36B	NaN	True	NaN	NaN	NaN	Low
ANKS6	NaN	True	NaN	NaN	NaN	Low
ANP32E	NaN	NaN	True	NaN	NaN	Low
ANXA9	NaN	NaN	True	NaN	NaN	Low
AOAH	NaN	True	NaN	NaN	NaN	Low
AOC2	NaN	True	NaN	NaN	NaN	Low
AP1G1	NaN	True	NaN	NaN	NaN	Low
AP1M2	NaN	True	NaN	NaN	NaN	Low
APAF1	NaN	True	NaN	NaN	NaN	Low
APCDD1	NaN	True	NaN	NaN	NaN	Low
APH1B	NaN	True	NaN	NaN	NaN	Low
APOBEC3AP1	NaN	NaN	True	NaN	NaN	Low
APOBEC3B	NaN	True	NaN	NaN	NaN	Low
APOL1	NaN	True	NaN	NaN	NaN	Low
APOL2	NaN	True	NaN	NaN	NaN	Low
APPL1	NaN	True	NaN	NaN	NaN	Low
AQP3	NaN	True	NaN	NaN	NaN	Low
AQP5	NaN	True	NaN	NaN	NaN	Low
AQP9	NaN	True	NaN	NaN	NaN	Low
ARAP2	NaN	True	NaN	NaN	NaN	Low
ARG1	NaN	True	NaN	NaN	NaN	Low
ARHGAP1	NaN	NaN	True	NaN	NaN	Low
ARHGAP15	NaN	NaN	True	NaN	NaN	Low
ARHGAP24	NaN	NaN	True	NaN	NaN	Low
ARHGAP26	NaN	True	NaN	NaN	NaN	Low
ARHGAP30	NaN	NaN	True	NaN	NaN	Low
ARHGAP9	NaN	True	NaN	NaN	NaN	Low
ARHGEF4	NaN	True	NaN	NaN	NaN	Low
ARHGEF40	NaN	True	NaN	NaN	NaN	Low
ARID2	NaN	NaN	True	NaN	NaN	Low
ARID3A	NaN	True	NaN	NaN	NaN	Low
ARID5B	NaN	True	NaN	NaN	NaN	Low
ARIH2	NaN	NaN	True	NaN	NaN	Low
ARL11	NaN	True	NaN	NaN	NaN	Low
ARMC1	NaN	True	NaN	NaN	NaN	Low
ARMCX2	NaN	True	NaN	NaN	NaN	Low
ARNT	True	NaN	NaN	NaN	NaN	Low
ARNT2	True	NaN	NaN	NaN	NaN	Low
ARNTL	True	True	True	True	True	High
ARNTL2	True	NaN	NaN	True	NaN	Medium
ARRB1	NaN	True	NaN	NaN	NaN	Low
ARRDC1	NaN	True	True	NaN	NaN	Medium
ARSA	NaN	True	NaN	NaN	NaN	Low
ARSB	NaN	True	NaN	NaN	NaN	Low
ARSJ	NaN	True	NaN	NaN	NaN	Low
ARV1	NaN	True	NaN	NaN	NaN	Low
ASAH1	NaN	True	NaN	NaN	NaN	Low
ASB1	NaN	NaN	True	NaN	NaN	Low
ASB13	NaN	True	NaN	NaN	NaN	Low
ASB3	NaN	NaN	True	NaN	NaN	Low
ASB7	NaN	NaN	True	NaN	NaN	Low
ASCC3	NaN	True	NaN	NaN	NaN	Low
ASCL1	NaN	NaN	NaN	NaN	True	High
ASH1L	NaN	True	NaN	NaN	NaN	Low
ASIC2	NaN	NaN	True	NaN	NaN	Low
ASL	NaN	True	NaN	NaN	NaN	Low
ASMT	NaN	NaN	NaN	NaN	True	High
ASNS	NaN	True	NaN	NaN	NaN	Low
ASPRV1	NaN	True	NaN	NaN	NaN	Low
ASS1	NaN	NaN	NaN	True	NaN	Low
ASS1P9	NaN	NaN	True	NaN	NaN	Low
ATAD2B	NaN	NaN	True	NaN	NaN	Low
ATE1	NaN	NaN	True	NaN	NaN	Low
ATF3	NaN	True	NaN	NaN	NaN	Low
ATF4	True	NaN	NaN	True	NaN	Medium
ATF5	True	NaN	NaN	True	NaN	Medium
ATF7IP2	NaN	True	NaN	NaN	NaN	Low
ATG2A	NaN	True	NaN	NaN	NaN	Low
ATG4AP1	NaN	NaN	True	NaN	NaN	Low
ATG7	NaN	NaN	NaN	True	NaN	Low
ATIC	NaN	True	NaN	NaN	NaN	Low
ATOH7	True	NaN	NaN	True	NaN	Medium
ATP10D	NaN	True	NaN	NaN	NaN	Low
ATP1B1	NaN	True	NaN	NaN	NaN	Low
ATP5I	NaN	True	NaN	NaN	NaN	Low
ATP6V0B	NaN	True	NaN	NaN	NaN	Low
ATP8B2	NaN	True	NaN	NaN	NaN	Low
ATP9B	NaN	True	NaN	NaN	NaN	Low
ATR	NaN	True	NaN	NaN	NaN	Low
ATXN7L2	NaN	NaN	True	NaN	NaN	Low
AUTS2	NaN	NaN	True	NaN	NaN	Low
AVIL	NaN	True	NaN	NaN	NaN	Low
AVP	True	NaN	NaN	NaN	NaN	Low
AVPR1A	NaN	NaN	True	NaN	NaN	Low
AXDND1	NaN	NaN	True	NaN	NaN	Low
AXIN1	NaN	True	NaN	NaN	NaN	Low
B3GNT8	NaN	True	NaN	NaN	NaN	Low
B4GALT5	NaN	True	NaN	NaN	NaN	Low
BACH2	NaN	True	NaN	NaN	NaN	Low
BAG3	NaN	True	NaN	NaN	NaN	Low
BAIAP3	NaN	True	NaN	NaN	NaN	Low
BANK1	NaN	True	True	NaN	NaN	Medium
BASP1	NaN	True	NaN	NaN	NaN	Low
BATF2	NaN	True	NaN	NaN	NaN	Low
BBS2	NaN	True	NaN	NaN	NaN	Low
BCAP29	NaN	NaN	True	NaN	NaN	Low
BCL11A	NaN	True	NaN	NaN	NaN	Low
BCL11B	NaN	True	NaN	NaN	NaN	Low
BCL2	NaN	True	NaN	NaN	NaN	Low
BCL2A1	NaN	True	NaN	NaN	NaN	Low
BCL3	NaN	True	NaN	NaN	NaN	Low
BCL6B	NaN	True	NaN	NaN	NaN	Low
BCL7B	NaN	True	NaN	NaN	NaN	Low
BDH2P1	NaN	NaN	True	NaN	NaN	Low
BDNF-AS	NaN	NaN	True	NaN	NaN	Low
BDP1	NaN	True	NaN	NaN	NaN	Low
BEGAIN	NaN	NaN	True	NaN	NaN	Low
BEND5	NaN	True	NaN	NaN	NaN	Low
BEND7	NaN	True	NaN	NaN	NaN	Low
BEX2	NaN	True	NaN	NaN	NaN	Low
BHLHE40	True	NaN	NaN	True	NaN	Medium
BHLHE41	True	True	NaN	True	NaN	High
BICC1	NaN	NaN	True	NaN	NaN	Low
BIN3	NaN	True	NaN	NaN	NaN	Low
BIRC3	NaN	True	NaN	NaN	NaN	Low
BIRC6	NaN	NaN	True	NaN	NaN	Low
BIRC7	NaN	True	NaN	NaN	NaN	Low
BLK	NaN	NaN	True	NaN	NaN	Low
BMI1P1	NaN	NaN	True	NaN	NaN	Low
BMS1	NaN	True	NaN	NaN	NaN	Low
BMX	NaN	True	NaN	NaN	NaN	Low
BOLL	NaN	NaN	True	NaN	NaN	Low
BPI	NaN	True	NaN	NaN	NaN	Low
BRCC3	NaN	True	NaN	NaN	NaN	Low
BRINP3	NaN	NaN	True	NaN	NaN	Low
BRIX1	NaN	True	NaN	NaN	NaN	Low
BRSK2	NaN	NaN	True	NaN	NaN	Low
BRWD1	NaN	True	NaN	NaN	NaN	Low
BSG	NaN	True	NaN	NaN	NaN	Low
BSN	NaN	NaN	True	NaN	NaN	Low
BTBD9	True	NaN	True	True	NaN	High
BTNL8	NaN	True	NaN	NaN	NaN	Low
BTRC	True	NaN	True	True	NaN	High
BUD13	NaN	NaN	True	NaN	NaN	Low
BZW2	NaN	True	NaN	NaN	NaN	Low
C10orf11	NaN	True	NaN	NaN	NaN	Low
C10orf35	NaN	True	NaN	NaN	NaN	Low
C10orf54	NaN	True	NaN	NaN	NaN	Low
C12orf42	NaN	True	NaN	NaN	NaN	Low
C12orf65	NaN	True	NaN	NaN	NaN	Low
C12orf66	NaN	True	NaN	NaN	NaN	Low
C14orf132	NaN	True	NaN	NaN	NaN	Low
C14orf39	NaN	NaN	True	NaN	NaN	Low
C16orf78	NaN	NaN	True	NaN	NaN	Low
C16orf97	NaN	NaN	True	NaN	NaN	Low
C17orf89	NaN	True	NaN	NaN	NaN	Low
C1QA	NaN	True	NaN	NaN	NaN	Low
C1QC	NaN	True	NaN	NaN	NaN	Low
C1QL1	NaN	NaN	True	NaN	NaN	Low
C1QTNF4	NaN	NaN	True	NaN	NaN	Low
C1RL	NaN	True	NaN	NaN	NaN	Low
C1orf228	NaN	True	NaN	NaN	NaN	Low
C1orf54	NaN	True	True	NaN	NaN	Medium
C1orf94	NaN	NaN	True	NaN	NaN	Low
C20orf27	NaN	True	NaN	NaN	NaN	Low
C2orf40	NaN	True	NaN	NaN	NaN	Low
C2orf74	NaN	True	NaN	NaN	NaN	Low
C3orf18	NaN	True	True	NaN	NaN	Medium
C3orf62	NaN	True	NaN	NaN	NaN	Low
C4BPA	NaN	True	NaN	NaN	NaN	Low
C5AR1	NaN	True	NaN	NaN	NaN	Low
C6orf25	NaN	True	NaN	NaN	NaN	Low
C7orf34	NaN	True	NaN	NaN	NaN	Low
C8orf59	NaN	True	NaN	NaN	NaN	Low
C8orf7	NaN	True	NaN	NaN	NaN	Low
C9orf147	NaN	NaN	True	NaN	NaN	Low
CA10	NaN	NaN	True	NaN	NaN	Low
CA14	NaN	NaN	True	NaN	NaN	Low
CA4	NaN	True	NaN	NaN	NaN	Low
CA5A	NaN	True	NaN	NaN	NaN	Low
CA6	NaN	True	NaN	NaN	NaN	Low
CABYR	NaN	True	NaN	NaN	NaN	Low
CABYRP1	NaN	NaN	True	NaN	NaN	Low
CACNA1C	NaN	True	NaN	NaN	NaN	Low
CACNA1I	NaN	True	NaN	NaN	NaN	Low
CACNA2D2	NaN	NaN	True	NaN	NaN	Low
CACNA2D3	NaN	NaN	True	NaN	NaN	Low
CACNB2	NaN	True	NaN	NaN	NaN	Low
CADM1	NaN	NaN	True	NaN	NaN	Low
CADM2	NaN	NaN	True	NaN	NaN	Low
CALCOCO2	NaN	True	True	NaN	NaN	Medium
CALN1	NaN	NaN	True	NaN	NaN	Low
CAMK2D	NaN	NaN	True	NaN	NaN	Low
CAMK2N1	NaN	True	NaN	NaN	NaN	Low
CAMK4	NaN	True	NaN	NaN	NaN	Low
CAMKK1	NaN	True	NaN	NaN	NaN	Low
CAMKMT	NaN	NaN	True	NaN	NaN	Low
CAMKV	NaN	NaN	True	NaN	NaN	Low
CAMTA1	NaN	NaN	True	NaN	NaN	Low
CAND2	NaN	True	NaN	NaN	NaN	Low
CANT1	NaN	True	NaN	NaN	NaN	Low
CAPRIN1	NaN	True	NaN	NaN	NaN	Low
CAPZA1	NaN	NaN	True	NaN	NaN	Low
CARD8	NaN	True	NaN	NaN	NaN	Low
CARTPT	True	NaN	NaN	True	NaN	Medium
CASC16	NaN	NaN	True	NaN	NaN	Low
CASC18	NaN	NaN	True	NaN	NaN	Low
CASK	NaN	True	NaN	NaN	NaN	Low
CASP8	NaN	True	NaN	NaN	NaN	Low
CATSPER2	NaN	True	NaN	NaN	NaN	Low
CAV3	NaN	NaN	True	NaN	NaN	Low
CAVIN3	True	NaN	NaN	True	NaN	Medium
CBL	NaN	True	NaN	NaN	NaN	Low
CBS	NaN	True	NaN	NaN	NaN	Low
CBX1	NaN	NaN	True	NaN	NaN	Low
CCAR2	True	NaN	NaN	True	NaN	Medium
CCDC12	NaN	NaN	True	NaN	NaN	Low
CCDC153	NaN	True	NaN	NaN	NaN	Low
CCDC17	NaN	True	NaN	NaN	NaN	Low
CCDC61	NaN	NaN	True	NaN	NaN	Low
CCDC81	NaN	NaN	True	NaN	NaN	Low
CCDC85B	NaN	True	NaN	NaN	NaN	Low
CCDC85C	NaN	True	NaN	NaN	NaN	Low
CCDC87	NaN	NaN	True	NaN	NaN	Low
CCDC88A	NaN	True	NaN	NaN	NaN	Low
CCDC88B	NaN	True	NaN	NaN	NaN	Low
CCDC90B	NaN	NaN	True	NaN	NaN	Low
CCDC91	NaN	True	NaN	NaN	NaN	Low
CCHCR1	NaN	NaN	True	NaN	NaN	Low
CCL23	NaN	True	NaN	NaN	NaN	Low
CCNG2	NaN	True	NaN	NaN	NaN	Low
CCNH	NaN	NaN	True	NaN	NaN	Low
CCNJL	NaN	True	NaN	NaN	NaN	Low
CCR7	NaN	True	NaN	NaN	NaN	Low
CCR9	NaN	True	NaN	NaN	NaN	Low
CCT6B	NaN	NaN	True	NaN	NaN	Low
CD177	NaN	True	NaN	NaN	NaN	Low
CD200	NaN	True	NaN	NaN	NaN	Low
CD22	NaN	True	NaN	NaN	NaN	Low
CD248	NaN	True	NaN	NaN	NaN	Low
CD28	NaN	True	NaN	NaN	NaN	Low
CD300C	NaN	True	NaN	NaN	NaN	Low
CD300LF	NaN	True	NaN	NaN	NaN	Low
CD38	NaN	True	NaN	NaN	NaN	Low
CD3E	NaN	True	NaN	NaN	NaN	Low
CD3G	NaN	True	NaN	NaN	NaN	Low
CD46	NaN	True	NaN	NaN	NaN	Low
CD5	NaN	True	NaN	NaN	NaN	Low
CD59	NaN	NaN	True	NaN	NaN	Low
CD83	NaN	True	NaN	NaN	NaN	Low
CD8B	NaN	True	NaN	NaN	NaN	Low
CD8B2	NaN	NaN	True	NaN	NaN	Low
CD93	NaN	True	NaN	NaN	NaN	Low
CD96	NaN	True	NaN	NaN	NaN	Low
CDA	NaN	True	NaN	NaN	NaN	Low
CDC25C	NaN	NaN	True	NaN	NaN	Low
CDC42EP3	NaN	True	NaN	NaN	NaN	Low
CDC42SE1	NaN	True	NaN	NaN	NaN	Low
CDCA7L	NaN	True	NaN	NaN	NaN	Low
CDH13	NaN	NaN	True	NaN	NaN	Low
CDH19	NaN	NaN	True	NaN	NaN	Low
CDH23	NaN	True	True	NaN	NaN	Medium
CDH4	NaN	NaN	True	NaN	NaN	Low
CDIPT	NaN	True	NaN	NaN	NaN	Low
CDK1	NaN	NaN	NaN	True	NaN	Low
CDK4	True	True	NaN	True	NaN	High
CDR2	NaN	True	NaN	NaN	NaN	Low
CDR2L	NaN	True	NaN	NaN	NaN	Low
CDS2	NaN	True	NaN	NaN	NaN	Low
CEACAM1	NaN	True	NaN	NaN	NaN	Low
CEACAM3	NaN	True	NaN	NaN	NaN	Low
CECR6	NaN	True	NaN	NaN	NaN	Low
CEMIP2	NaN	NaN	True	NaN	NaN	Low
CENPH	NaN	True	NaN	NaN	NaN	Low
CEP68	NaN	True	NaN	NaN	NaN	Low
CES5A	NaN	NaN	True	NaN	NaN	Low
CFAP61	NaN	NaN	True	NaN	NaN	Low
CFLAR	NaN	True	NaN	NaN	NaN	Low
CHCHD3	NaN	NaN	True	NaN	NaN	Low
CHD6	NaN	True	NaN	NaN	NaN	Low
CHIC2	NaN	True	NaN	NaN	NaN	Low
CHMP1A	NaN	True	NaN	NaN	NaN	Low
CHPF2	NaN	True	NaN	NaN	NaN	Low
CHRM1	True	NaN	NaN	NaN	NaN	Low
CHRNA10	NaN	True	NaN	NaN	NaN	Low
CHRNB2	True	NaN	NaN	True	NaN	Medium
CHST11	NaN	True	NaN	NaN	NaN	Low
CHST15	NaN	True	NaN	NaN	NaN	Low
CHST7	NaN	True	NaN	NaN	NaN	Low
CHSY1	NaN	True	NaN	NaN	NaN	Low
CIART	True	NaN	NaN	True	NaN	Medium
CIB3	NaN	True	NaN	NaN	NaN	Low
CIPC	True	NaN	NaN	True	NaN	Medium
CIR1	NaN	NaN	True	NaN	NaN	Low
CLDN4	True	NaN	NaN	True	NaN	Medium
CLEC18B	NaN	True	NaN	NaN	NaN	Low
CLEC2D	NaN	True	NaN	NaN	NaN	Low
CLEC4C	NaN	True	NaN	NaN	NaN	Low
CLEC4E	NaN	True	NaN	NaN	NaN	Low
CLIP1	NaN	NaN	True	NaN	NaN	Low
CLN5	NaN	NaN	True	NaN	NaN	Low
CLOCK	True	NaN	NaN	True	True	High
CLRN1-AS1	NaN	NaN	True	NaN	NaN	Low
CLUAP1	NaN	True	NaN	NaN	NaN	Low
CLUHP8	NaN	NaN	True	NaN	NaN	Low
CLYBL	NaN	True	NaN	NaN	NaN	Low
CMC4	NaN	True	NaN	NaN	NaN	Low
CMTM2	NaN	True	NaN	NaN	NaN	Low
CMTM5	NaN	True	NaN	NaN	NaN	Low
CMTM8	NaN	True	NaN	NaN	NaN	Low
CNBD1	NaN	NaN	True	NaN	NaN	Low
CNPY3	NaN	True	NaN	NaN	NaN	Low
CNTN4	NaN	NaN	True	NaN	NaN	Low
CNTN5	NaN	NaN	True	NaN	NaN	Low
CNTNAP2	NaN	True	NaN	NaN	NaN	Low
CNTNAP3	NaN	True	NaN	NaN	NaN	Low
CNTNAP5	NaN	NaN	True	NaN	NaN	Low
COG5	NaN	NaN	True	NaN	NaN	Low
COL19A1	NaN	True	NaN	NaN	NaN	Low
COL4A1	NaN	NaN	True	NaN	NaN	Low
COPZ1	NaN	NaN	True	NaN	NaN	Low
COPZ2	NaN	NaN	True	NaN	NaN	Low
COQ10B	NaN	NaN	True	NaN	NaN	Low
CORO1C	NaN	True	NaN	NaN	NaN	Low
COTL1	NaN	True	NaN	NaN	NaN	Low
CPD	NaN	True	NaN	NaN	NaN	Low
CPEB1	NaN	NaN	True	NaN	NaN	Low
CPEB3	NaN	NaN	True	NaN	NaN	Low
CPNE2	NaN	True	NaN	NaN	NaN	Low
CPNE7	NaN	True	NaN	NaN	NaN	Low
CPNE8	NaN	NaN	True	NaN	NaN	Low
CPNE8-AS1	NaN	NaN	True	NaN	NaN	Low
CPPED1	NaN	True	NaN	NaN	NaN	Low
CPQ	NaN	NaN	True	NaN	NaN	Low
CPT1A	True	NaN	NaN	True	NaN	Medium
CR1L	NaN	True	NaN	NaN	NaN	Low
CR2	NaN	True	NaN	NaN	NaN	Low
CRAT	NaN	True	NaN	NaN	NaN	Low
CREB1	True	NaN	NaN	True	NaN	Medium
CREB5	NaN	True	NaN	NaN	NaN	Low
CREM	True	NaN	NaN	True	NaN	Medium
CRH	True	NaN	NaN	True	NaN	Medium
CRHBP	NaN	NaN	True	NaN	NaN	Low
CRIM1	NaN	NaN	True	NaN	NaN	Low
CRIP2	NaN	True	NaN	NaN	NaN	Low
CRIPT	NaN	NaN	True	NaN	NaN	Low
CRISPLD2	NaN	True	NaN	NaN	NaN	Low
CRTAC1	NaN	NaN	True	NaN	NaN	Low
CRTAM	NaN	True	NaN	NaN	NaN	Low
CRTC1	True	NaN	NaN	True	NaN	Medium
CRTC3	NaN	True	NaN	NaN	NaN	Low
CRX	True	NaN	NaN	NaN	NaN	Low
CRY1	True	True	True	True	True	High
CRY2	True	True	NaN	True	True	High
CSAD	NaN	True	NaN	NaN	NaN	Low
CSF2	NaN	NaN	NaN	True	NaN	Low
CSF2RA	NaN	True	NaN	NaN	NaN	Low
CSF2RB	NaN	True	NaN	NaN	NaN	Low
CSF3R	NaN	True	NaN	NaN	NaN	Low
CSMD1	NaN	NaN	True	NaN	NaN	Low
CSNK1D	True	True	NaN	True	NaN	High
CSNK1E	True	True	NaN	True	True	High
CSRNP3	NaN	True	NaN	NaN	NaN	Low
CST3	True	NaN	NaN	NaN	NaN	Low
CST7	NaN	True	NaN	NaN	NaN	Low
CSTF3	NaN	True	NaN	NaN	NaN	Low
CTBP1	NaN	True	NaN	NaN	NaN	Low
CTBP2	NaN	NaN	True	NaN	NaN	Low
CTBS	NaN	True	NaN	NaN	NaN	Low
CTC1	NaN	NaN	True	NaN	NaN	Low
CTRL	NaN	True	NaN	NaN	NaN	Low
CTSD	NaN	True	NaN	NaN	NaN	Low
CTSF	NaN	True	True	NaN	NaN	Medium
CTSS	NaN	True	True	NaN	NaN	Medium
CTXN3	NaN	NaN	True	NaN	NaN	Low
CUL1	True	NaN	NaN	NaN	NaN	Low
CUL4A	NaN	True	NaN	NaN	NaN	Low
CUL9	NaN	NaN	True	NaN	NaN	Low
CUX1	NaN	NaN	True	NaN	NaN	Low
CXCL2	NaN	True	NaN	NaN	NaN	Low
CXCR5	NaN	True	NaN	NaN	NaN	Low
CXorf57	NaN	True	NaN	NaN	NaN	Low
CXorf65	NaN	True	NaN	NaN	NaN	Low
CYBRD1	NaN	True	NaN	NaN	NaN	Low
CYCS	NaN	True	NaN	NaN	NaN	Low
CYHR1	NaN	True	NaN	NaN	NaN	Low
CYLC1	NaN	NaN	True	NaN	NaN	Low
CYP27A1	NaN	True	NaN	NaN	NaN	Low
CYP2A6	NaN	NaN	True	NaN	NaN	Low
CYP2D7	NaN	True	NaN	NaN	NaN	Low
CYP2J2	NaN	True	NaN	NaN	NaN	Low
CYP4F2	NaN	True	NaN	NaN	NaN	Low
CYP4V2	NaN	True	NaN	NaN	NaN	Low
CYP51A1P1	NaN	NaN	True	NaN	NaN	Low
DAAM2	NaN	True	NaN	NaN	NaN	Low
DAB1	NaN	NaN	True	NaN	NaN	Low
DACT1	NaN	True	NaN	NaN	NaN	Low
DAPK2	NaN	True	NaN	NaN	NaN	Low
