GeneName	Biosystems	CGDB	GWAS	GO	McMahon	Confidence
DBN1	NaN	True	NaN	NaN	NaN	Low
DBP	True	True	NaN	True	NaN	High
DCAF4	NaN	True	NaN	NaN	NaN	Low
DDB1	NaN	NaN	NaN	True	NaN	Low
DDC	True	NaN	True	True	True	High
DDI2	NaN	NaN	True	NaN	NaN	Low
DDIT4	NaN	True	NaN	NaN	NaN	Low
DDR1	NaN	True	NaN	NaN	NaN	Low
DDX18	NaN	True	NaN	NaN	NaN	Low
DDX42	NaN	True	NaN	NaN	NaN	Low
DDX5	True	NaN	NaN	NaN	NaN	Low
DEDD2	NaN	NaN	True	NaN	NaN	Low
DENND1A	NaN	NaN	True	NaN	NaN	Low
DENND2A	NaN	True	NaN	NaN	NaN	Low
DENND4A	NaN	True	NaN	NaN	NaN	Low
DENND5B	NaN	True	NaN	NaN	NaN	Low
DERA	NaN	NaN	True	NaN	NaN	Low
DGAT1	NaN	True	NaN	NaN	NaN	Low
DGAT2	NaN	True	NaN	NaN	NaN	Low
DGCR8	NaN	True	NaN	NaN	NaN	Low
DGKG	NaN	NaN	True	NaN	NaN	Low
DHODH	NaN	True	NaN	NaN	NaN	Low
DHRS13	NaN	True	NaN	NaN	NaN	Low
DHRS9	NaN	True	NaN	NaN	NaN	Low
DHRSX	NaN	True	NaN	NaN	NaN	Low
DHX34	NaN	True	NaN	NaN	NaN	Low
DHX9	True	NaN	NaN	NaN	NaN	Low
DIP2B	NaN	True	NaN	NaN	NaN	Low
DIP2C	NaN	NaN	True	NaN	NaN	Low
DIS3L2	NaN	True	NaN	NaN	NaN	Low
DKFZp686E14208	NaN	True	NaN	NaN	NaN	Low
DLEC1	NaN	True	NaN	NaN	NaN	Low
DMRT1	NaN	NaN	True	NaN	NaN	Low
DMRT2	NaN	NaN	True	NaN	NaN	Low
DMRTC1B	NaN	True	NaN	NaN	NaN	Low
DNAH1	NaN	NaN	True	NaN	NaN	Low
DNAJA1P1	NaN	NaN	True	NaN	NaN	Low
DNAJC10	NaN	True	NaN	NaN	NaN	Low
DNAJC16	NaN	True	True	NaN	NaN	Medium
DNAJC19	NaN	True	NaN	NaN	NaN	Low
DNM1L	NaN	True	NaN	NaN	NaN	Low
DNMT1	NaN	True	NaN	NaN	NaN	Low
DOCK1	NaN	NaN	True	NaN	NaN	Low
DOCK10	NaN	True	NaN	NaN	NaN	Low
DOCK3	NaN	NaN	True	NaN	NaN	Low
DOCK4	NaN	True	NaN	NaN	NaN	Low
DOCK5	NaN	True	NaN	NaN	NaN	Low
DOK5	NaN	True	NaN	NaN	NaN	Low
DPYD	NaN	NaN	True	NaN	NaN	Low
DPYD-AS1	NaN	NaN	True	NaN	NaN	Low
DPYSL3	NaN	NaN	True	NaN	NaN	Low
DRD1	True	NaN	True	NaN	True	High
DRD2	True	NaN	True	True	NaN	High
DRD3	True	NaN	True	True	NaN	High
DRD4	True	NaN	NaN	True	NaN	Medium
DSC1	NaN	True	NaN	NaN	NaN	Low
DTNA	NaN	NaN	True	NaN	NaN	Low
DTX2	NaN	True	NaN	NaN	NaN	Low
DTX3L	NaN	True	NaN	NaN	NaN	Low
DUS3L	NaN	NaN	True	NaN	NaN	Low
DUS4L-BCAP29	NaN	NaN	True	NaN	NaN	Low
DUSP1	NaN	True	NaN	NaN	NaN	Low
DUSP13	NaN	True	NaN	NaN	NaN	Low
DUSP27	NaN	True	NaN	NaN	NaN	Low
DUSP28	NaN	True	NaN	NaN	NaN	Low
DVL3	NaN	True	NaN	NaN	NaN	Low
DYRK1A	True	NaN	NaN	True	NaN	Medium
DYRK2	NaN	True	NaN	NaN	NaN	Low
DYSF	NaN	True	NaN	NaN	NaN	Low
DZIP3	NaN	True	NaN	NaN	NaN	Low
EBAG9	NaN	True	NaN	NaN	NaN	Low
EBF1	NaN	True	NaN	NaN	NaN	Low
EBLN3P	NaN	NaN	True	NaN	NaN	Low
ECE1	NaN	True	True	NaN	NaN	Medium
ECHDC2	NaN	True	NaN	NaN	NaN	Low
ECHDC3	NaN	True	NaN	NaN	NaN	Low
EEF1A1P11	NaN	NaN	True	NaN	NaN	Low
EEF1A1P12	NaN	NaN	True	NaN	NaN	Low
EEF1GP4	NaN	NaN	True	NaN	NaN	Low
EFCAB8	NaN	NaN	True	NaN	NaN	Low
EFNA5	NaN	NaN	True	NaN	NaN	Low
EGFR	NaN	NaN	NaN	True	NaN	Low
EGLN1	NaN	True	NaN	NaN	NaN	Low
EGR1	True	NaN	NaN	True	NaN	Medium
EGR2	NaN	NaN	True	NaN	NaN	Low
EGR3	True	NaN	NaN	True	NaN	Medium
EHMT2	NaN	NaN	True	NaN	NaN	Low
EID1	NaN	True	NaN	NaN	NaN	Low
EID2	NaN	True	NaN	NaN	NaN	Low
EIF2AK3	NaN	NaN	True	NaN	NaN	Low
EIF2AK3-DT	NaN	NaN	True	NaN	NaN	Low
EIF3E	NaN	True	NaN	NaN	NaN	Low
EIF3M	NaN	True	NaN	NaN	NaN	Low
EIF4B	NaN	True	NaN	NaN	NaN	Low
EIF4E3	NaN	True	NaN	NaN	NaN	Low
EIF4G3	NaN	NaN	True	NaN	NaN	Low
EIF5B	NaN	True	NaN	NaN	NaN	Low
ELAVL1	NaN	True	NaN	NaN	NaN	Low
ELL	NaN	True	NaN	NaN	NaN	Low
ELP2	NaN	True	NaN	NaN	NaN	Low
EML4	NaN	True	NaN	NaN	NaN	Low
EMP1	NaN	True	NaN	NaN	NaN	Low
ENO4	NaN	NaN	True	NaN	NaN	Low
ENSA	NaN	NaN	True	NaN	NaN	Low
ENTPD1	NaN	True	NaN	NaN	NaN	Low
EP300	True	NaN	NaN	True	NaN	Medium
EPB41L3	NaN	NaN	True	NaN	NaN	Low
EPC2	NaN	NaN	True	NaN	NaN	Low
EPCAM-DT	NaN	NaN	True	NaN	NaN	Low
EPHA5	NaN	NaN	True	NaN	NaN	Low
EPHB1	NaN	NaN	True	NaN	NaN	Low
EPHX2	NaN	True	NaN	NaN	NaN	Low
EPM2AIP1	NaN	True	NaN	NaN	NaN	Low
EPOR	NaN	True	NaN	NaN	NaN	Low
EPRS	NaN	True	NaN	NaN	NaN	Low
EPS15L1	NaN	True	NaN	NaN	NaN	Low
ERC2	NaN	NaN	True	NaN	NaN	Low
ERGIC1	NaN	True	NaN	NaN	NaN	Low
ERI1	NaN	NaN	True	NaN	NaN	Low
ERMN	NaN	True	NaN	NaN	NaN	Low
ESF1	NaN	True	NaN	NaN	NaN	Low
ESR1	NaN	True	NaN	NaN	NaN	Low
ESR2	NaN	NaN	True	NaN	NaN	Low
ESRRG	NaN	NaN	True	NaN	NaN	Low
ESYT2	NaN	True	NaN	NaN	NaN	Low
ESYT3	NaN	NaN	True	NaN	NaN	Low
EXD3	NaN	NaN	True	NaN	NaN	Low
EXOC2	NaN	True	NaN	NaN	NaN	Low
EXOC4	NaN	NaN	True	NaN	NaN	Low
EXOSC2	NaN	True	NaN	NaN	NaN	Low
EXOSC7	NaN	True	NaN	NaN	NaN	Low
EXOSC8	NaN	True	NaN	NaN	NaN	Low
EXOSC9	NaN	True	NaN	NaN	NaN	Low
EXT2	NaN	True	NaN	NaN	NaN	Low
EZH2	True	NaN	True	True	NaN	High
F12	NaN	True	NaN	NaN	NaN	Low
F13A1	NaN	NaN	True	NaN	NaN	Low
F7	True	NaN	NaN	True	NaN	Medium
FAAH2	NaN	True	NaN	NaN	NaN	Low
FABP5	NaN	True	True	NaN	NaN	Medium
FADS1	NaN	NaN	True	NaN	NaN	Low
FADS2	NaN	NaN	True	NaN	NaN	Low
FAM101B	NaN	True	NaN	NaN	NaN	Low
FAM102A	NaN	True	NaN	NaN	NaN	Low
FAM104B	NaN	True	NaN	NaN	NaN	Low
FAM118A	NaN	NaN	True	NaN	NaN	Low
FAM120A	NaN	True	NaN	NaN	NaN	Low
FAM120C	NaN	True	NaN	NaN	NaN	Low
FAM126B	NaN	True	NaN	NaN	NaN	Low
FAM134B	NaN	True	NaN	NaN	NaN	Low
FAM153A	NaN	True	NaN	NaN	NaN	Low
FAM155A	NaN	NaN	True	NaN	NaN	Low
FAM155B	NaN	NaN	True	NaN	NaN	Low
FAM162A	NaN	True	NaN	NaN	NaN	Low
FAM185A	NaN	NaN	True	NaN	NaN	Low
FAM193A	NaN	NaN	True	NaN	NaN	Low
FAM217A	NaN	NaN	True	NaN	NaN	Low
FAM3D	NaN	True	True	NaN	NaN	Medium
FAM49A	NaN	True	NaN	NaN	NaN	Low
FAM53B	NaN	True	NaN	NaN	NaN	Low
FAM53C	NaN	True	NaN	NaN	NaN	Low
FAM63A	NaN	True	NaN	NaN	NaN	Low
FAM71BP1	NaN	NaN	True	NaN	NaN	Low
FAM83B	NaN	NaN	True	NaN	NaN	Low
FAM86B3P	NaN	NaN	True	NaN	NaN	Low
FAM8A1	NaN	True	NaN	NaN	NaN	Low
FANCF	NaN	True	NaN	NaN	NaN	Low
FANCM	NaN	True	NaN	NaN	NaN	Low
FAR1	NaN	True	NaN	NaN	NaN	Low
FAS	True	NaN	NaN	NaN	NaN	Low
FBLN5	NaN	True	NaN	NaN	NaN	Low
FBXL13	NaN	True	True	NaN	NaN	Medium
FBXL16	NaN	True	NaN	NaN	NaN	Low
FBXL17	NaN	NaN	True	NaN	NaN	Low
FBXL20	NaN	True	NaN	NaN	NaN	Low
FBXL3	True	NaN	True	True	NaN	High
FBXO21	NaN	True	NaN	NaN	NaN	Low
FBXO28	NaN	True	NaN	NaN	NaN	Low
FBXO3	NaN	NaN	True	NaN	NaN	Low
FBXO34	NaN	NaN	True	NaN	NaN	Low
FBXO38	NaN	True	NaN	NaN	NaN	Low
FBXO4	NaN	True	NaN	NaN	NaN	Low
FBXW11	True	NaN	NaN	True	NaN	Medium
FBXW7	NaN	NaN	NaN	True	NaN	Low
FCGBP	NaN	True	NaN	NaN	NaN	Low
FCGR2A	NaN	True	NaN	NaN	NaN	Low
FCGR2B	NaN	True	NaN	NaN	NaN	Low
FCGR3B	NaN	True	NaN	NaN	NaN	Low
FCRLA	NaN	True	NaN	NaN	NaN	Low
FES	NaN	True	NaN	NaN	NaN	Low
FEV	NaN	NaN	NaN	NaN	True	High
FEZF1	NaN	NaN	True	NaN	NaN	Low
FFAR2	NaN	True	NaN	NaN	NaN	Low
FGF7	NaN	True	NaN	NaN	NaN	Low
FGFBP3	NaN	True	NaN	NaN	NaN	Low
FHIT	NaN	True	NaN	NaN	NaN	Low
FITM2	NaN	True	NaN	NaN	NaN	Low
FKBP1B	NaN	True	NaN	NaN	NaN	Low
FKBP4	NaN	True	NaN	NaN	NaN	Low
FKBP8	NaN	True	NaN	NaN	NaN	Low
FLCN	NaN	True	NaN	NaN	NaN	Low
FLOT1	NaN	True	NaN	NaN	NaN	Low
FLT3	NaN	True	NaN	NaN	NaN	Low
FLT3LG	NaN	True	NaN	NaN	NaN	Low
FNBP4	NaN	NaN	True	NaN	NaN	Low
FNDC3B	NaN	True	NaN	NaN	NaN	Low
FO082842.1	NaN	NaN	True	NaN	NaN	Low
FOLR3	NaN	True	NaN	NaN	NaN	Low
FOS	NaN	True	NaN	NaN	NaN	Low
FOSL2	NaN	True	NaN	NaN	NaN	Low
FOXA2	NaN	NaN	NaN	NaN	True	High
FOXJ1	NaN	True	NaN	NaN	NaN	Low
FOXK1	NaN	True	NaN	NaN	NaN	Low
FOXO1	NaN	True	NaN	NaN	NaN	Low
FOXP1	NaN	NaN	True	NaN	NaN	Low
FOXP2	NaN	NaN	True	NaN	NaN	Low
FOXP4	NaN	NaN	True	NaN	NaN	Low
FPR2	NaN	True	NaN	NaN	NaN	Low
FRAT1	NaN	True	NaN	NaN	NaN	Low
FSTL5	NaN	True	NaN	NaN	NaN	Low
FTH1P5	NaN	NaN	True	NaN	NaN	Low
FTO	NaN	NaN	True	NaN	NaN	Low
FUT7	NaN	True	NaN	NaN	NaN	Low
FXNP1	NaN	NaN	True	NaN	NaN	Low
G6PD	NaN	True	NaN	NaN	NaN	Low
GAB1	NaN	True	NaN	NaN	NaN	Low
GAB4	NaN	True	NaN	NaN	NaN	Low
GABARAP	NaN	True	NaN	NaN	NaN	Low
GABBR1	NaN	NaN	NaN	NaN	True	High
GABPB2	NaN	True	NaN	NaN	NaN	Low
GABRA1	NaN	NaN	NaN	NaN	True	High
GADD45B	NaN	True	NaN	NaN	NaN	Low
GALNT14	NaN	True	NaN	NaN	NaN	Low
GAPDHP57	NaN	NaN	True	NaN	NaN	Low
GAS7	NaN	True	NaN	NaN	NaN	Low
GATA2	NaN	True	NaN	NaN	True	High
GATA3	NaN	NaN	NaN	NaN	True	High
GATA4	NaN	NaN	True	NaN	NaN	Low
GATM	NaN	True	NaN	NaN	NaN	Low
GBF1	NaN	NaN	True	NaN	NaN	Low
GCH1	NaN	NaN	True	NaN	NaN	Low
GCSH	NaN	True	NaN	NaN	NaN	Low
GFAP	NaN	NaN	True	NaN	NaN	Low
GFPT1	True	NaN	NaN	True	NaN	Medium
GFRAL	NaN	NaN	True	NaN	NaN	Low
GGA1	NaN	True	NaN	NaN	NaN	Low
GGTLC2	NaN	True	NaN	NaN	NaN	Low
GHRH	True	NaN	NaN	True	NaN	Medium
GHRHR	NaN	NaN	NaN	True	NaN	Low
GHRL	True	True	NaN	True	NaN	High
GHSR	NaN	NaN	True	NaN	NaN	Low
GIMAP5	NaN	True	NaN	NaN	NaN	Low
GIMAP7	NaN	True	NaN	NaN	NaN	Low
GK	NaN	True	NaN	NaN	NaN	Low
GKAP1	NaN	NaN	True	NaN	NaN	Low
GLIS3	NaN	NaN	True	NaN	NaN	Low
GLT1D1	NaN	True	NaN	NaN	NaN	Low
GLYAT	NaN	NaN	True	NaN	NaN	Low
GMCL1	NaN	NaN	True	NaN	NaN	Low
GNA11	True	True	NaN	True	NaN	High
GNAI2	NaN	True	True	NaN	NaN	Medium
GNAO1	NaN	NaN	True	NaN	NaN	Low
GNAQ	True	NaN	NaN	True	NaN	Medium
GNG2	NaN	True	NaN	NaN	NaN	Low
GNG7	NaN	NaN	True	NaN	NaN	Low
GNMT	NaN	True	NaN	NaN	NaN	Low
GNPATP	NaN	NaN	True	NaN	NaN	Low
GNS	NaN	True	NaN	NaN	NaN	Low
GOLGA4	NaN	True	NaN	NaN	NaN	Low
GOLGA6L10	NaN	True	NaN	NaN	NaN	Low
GOLGA8A	NaN	True	NaN	NaN	NaN	Low
GOLPH3L	NaN	NaN	True	NaN	NaN	Low
GON4L	NaN	True	NaN	NaN	NaN	Low
GPA33	NaN	True	NaN	NaN	NaN	Low
GPATCH2	NaN	NaN	True	NaN	NaN	Low
GPATCH4	NaN	True	NaN	NaN	NaN	Low
GPC5	NaN	NaN	True	NaN	NaN	Low
GPC6	NaN	NaN	True	NaN	NaN	Low
GPN1	NaN	True	NaN	NaN	NaN	Low
GPR139	NaN	NaN	True	NaN	NaN	Low
GPR141	NaN	True	NaN	NaN	NaN	Low
GPR157	NaN	NaN	NaN	True	NaN	Low
GPR176	NaN	NaN	NaN	True	NaN	Low
GPR26	NaN	NaN	True	NaN	NaN	Low
GPR27	NaN	True	NaN	NaN	NaN	Low
GPR32	NaN	True	NaN	NaN	NaN	Low
GPR6	NaN	NaN	True	NaN	NaN	Low
GPR61	NaN	NaN	True	NaN	NaN	Low
GPRASP1	NaN	True	NaN	NaN	NaN	Low
GPRC5B	NaN	True	True	NaN	NaN	Medium
GPX7	NaN	True	NaN	NaN	NaN	Low
GRAP	NaN	True	NaN	NaN	NaN	Low
GRASP	NaN	True	NaN	NaN	NaN	Low
GRB10	NaN	True	True	NaN	NaN	Medium
GREM2	NaN	True	NaN	NaN	NaN	Low
GRK6	NaN	NaN	True	NaN	NaN	Low
GRM5	NaN	NaN	True	NaN	NaN	Low
GRM7	NaN	NaN	True	NaN	NaN	Low
GRPEL1	NaN	True	NaN	NaN	NaN	Low
GSK3B	True	True	NaN	True	NaN	High
GSTM4	NaN	True	NaN	NaN	NaN	Low
GTF2I	NaN	True	NaN	NaN	NaN	Low
GTF2IRD2	NaN	True	NaN	NaN	NaN	Low
GTPBP1	NaN	NaN	True	NaN	NaN	Low
GUCY2EP	NaN	NaN	True	NaN	NaN	Low
GZMB	NaN	True	NaN	NaN	NaN	Low
H1FX	NaN	True	NaN	NaN	NaN	Low
H3C9P	NaN	NaN	True	NaN	NaN	Low
H4C8	NaN	NaN	True	NaN	NaN	Low
HAAO	NaN	True	NaN	NaN	NaN	Low
HABP4	NaN	True	NaN	NaN	NaN	Low
HACD2	NaN	NaN	True	NaN	NaN	Low
HACL1	NaN	True	NaN	NaN	NaN	Low
HAGHL	NaN	True	NaN	NaN	NaN	Low
HAL	NaN	True	NaN	NaN	NaN	Low
HAPLN3	NaN	True	NaN	NaN	NaN	Low
HAS2-AS1	NaN	NaN	True	NaN	NaN	Low
HBP1	NaN	True	NaN	NaN	NaN	Low
HCG27	NaN	True	NaN	NaN	NaN	Low
HCK	NaN	True	True	NaN	NaN	Medium
HCRTR1	True	NaN	NaN	NaN	NaN	Low
HCRTR2	True	NaN	True	True	NaN	High
HDAC1	True	NaN	NaN	True	NaN	Medium
HDAC2	True	NaN	NaN	True	NaN	Medium
HDAC3	True	NaN	NaN	True	NaN	Medium
HDAC4	NaN	NaN	True	NaN	NaN	Low
HDAC9	NaN	NaN	True	NaN	NaN	Low
HEBP1	True	NaN	NaN	True	NaN	Medium
HECW2	NaN	NaN	True	NaN	NaN	Low
HELLS	NaN	True	NaN	NaN	NaN	Low
HELQ	NaN	True	NaN	NaN	NaN	Low
HEPACAM2	NaN	True	NaN	NaN	NaN	Low
HES7	NaN	NaN	True	NaN	NaN	Low
HHATL	NaN	True	NaN	NaN	NaN	Low
HIKESHI	NaN	NaN	True	NaN	NaN	Low
HIST1H1C	NaN	True	NaN	NaN	NaN	Low
HIST1H2AD	NaN	True	NaN	NaN	NaN	Low
HIST1H2BD	NaN	True	NaN	NaN	NaN	Low
HIST1H2BE	NaN	True	NaN	NaN	NaN	Low
HIST1H2BH	NaN	True	NaN	NaN	NaN	Low
HIST1H2BI	NaN	True	NaN	NaN	NaN	Low
HIST1H2BM	NaN	True	NaN	NaN	NaN	Low
HIST1H3J	NaN	True	NaN	NaN	NaN	Low
HIST2H2AA4	NaN	True	NaN	NaN	NaN	Low
HIST2H2BE	NaN	True	NaN	NaN	NaN	Low
HIST2H2BF	NaN	True	NaN	NaN	NaN	Low
HIST2H3D	NaN	True	NaN	NaN	NaN	Low
HIST3H2BB	NaN	True	NaN	NaN	NaN	Low
HIVEP1	NaN	NaN	True	NaN	NaN	Low
HK3	NaN	True	NaN	NaN	NaN	Low
HKDC1	NaN	True	NaN	NaN	NaN	Low
HLA-DQA1	NaN	True	NaN	NaN	NaN	Low
HLA-W	NaN	NaN	True	NaN	NaN	Low
HLCS	NaN	True	NaN	NaN	NaN	Low
HLX	NaN	True	NaN	NaN	NaN	Low
HMGB1P25	NaN	NaN	True	NaN	NaN	Low
HMGB2	NaN	True	NaN	NaN	NaN	Low
HMGCLL1	NaN	NaN	True	NaN	NaN	Low
HMGN2P13	NaN	NaN	True	NaN	NaN	Low
HMGN2P39	NaN	NaN	True	NaN	NaN	Low
HNF1B	True	NaN	NaN	True	NaN	Medium
HNF4A	NaN	NaN	NaN	True	NaN	Low
HNF4G	NaN	NaN	True	NaN	NaN	Low
HNF4GP1	NaN	NaN	True	NaN	NaN	Low
HNRNPA1	NaN	True	NaN	NaN	NaN	Low
HNRNPA1L2	NaN	True	NaN	NaN	NaN	Low
HNRNPA1P54	NaN	NaN	True	NaN	NaN	Low
HNRNPA1P57	NaN	NaN	True	NaN	NaN	Low
HNRNPA1P69	NaN	NaN	True	NaN	NaN	Low
HNRNPA3	NaN	True	NaN	NaN	NaN	Low
HNRNPD	True	NaN	True	True	NaN	High
HNRNPL	NaN	NaN	NaN	True	NaN	Low
HNRNPR	NaN	NaN	NaN	True	NaN	Low
HNRNPU	True	True	NaN	True	NaN	High
HOMER1	True	NaN	NaN	NaN	NaN	Low
HOOK1	NaN	True	NaN	NaN	NaN	Low
HP	NaN	True	NaN	NaN	NaN	Low
HP1BP3	NaN	NaN	True	NaN	NaN	Low
HPCAL4	NaN	True	NaN	NaN	NaN	Low
HPRT1	NaN	True	NaN	NaN	NaN	Low
HPS4	NaN	True	NaN	NaN	NaN	Low
HPSE	NaN	True	NaN	NaN	NaN	Low
HS3ST2	True	NaN	True	True	NaN	High
HSD11B2	NaN	True	NaN	NaN	NaN	Low
HSD17B10	NaN	True	NaN	NaN	NaN	Low
HSD17B12	NaN	NaN	True	NaN	NaN	Low
HSDL2	NaN	NaN	True	NaN	NaN	Low
HSF2	NaN	True	NaN	NaN	NaN	Low
HSPA14	NaN	True	NaN	NaN	NaN	Low
HSPA1A	NaN	True	NaN	NaN	NaN	Low
HSPA1B	NaN	True	NaN	NaN	NaN	Low
HSPA6	NaN	True	NaN	NaN	NaN	Low
HSPA9	NaN	True	NaN	NaN	NaN	Low
HSPD1P6	NaN	NaN	True	NaN	NaN	Low
HTATSF1	NaN	True	NaN	NaN	NaN	Low
HTR1A	NaN	NaN	NaN	NaN	True	High
HTR1B	NaN	True	NaN	NaN	True	High
HTR1D	NaN	NaN	NaN	NaN	True	High
HTR2A	NaN	NaN	NaN	NaN	True	High
HTR2C	NaN	NaN	NaN	NaN	True	High
HTR6	NaN	NaN	True	NaN	NaN	Low
HTR7	True	NaN	NaN	True	True	High
IARS	NaN	True	NaN	NaN	NaN	Low
IBTK	NaN	True	NaN	NaN	NaN	Low
ICA1	NaN	NaN	True	NaN	NaN	Low
ICOS	NaN	True	NaN	NaN	NaN	Low
ID1	NaN	NaN	NaN	True	NaN	Low
ID2	True	NaN	NaN	True	NaN	Medium
ID3	True	NaN	NaN	True	NaN	Medium
ID4	True	NaN	NaN	True	NaN	Medium
IDH1	NaN	True	NaN	NaN	NaN	Low
IDI2	NaN	True	NaN	NaN	NaN	Low
IDS	NaN	True	NaN	NaN	NaN	Low
IFIT1B	NaN	True	NaN	NaN	NaN	Low
IFIT2	NaN	True	NaN	NaN	NaN	Low
IFNG	NaN	True	NaN	NaN	NaN	Low
IGBP1P5	NaN	NaN	True	NaN	NaN	Low
IGF2R	NaN	True	NaN	NaN	NaN	Low
IGHD	NaN	True	NaN	NaN	NaN	Low
IGLL1	NaN	True	NaN	NaN	NaN	Low
IKBIP	NaN	True	NaN	NaN	NaN	Low
IL13RA1	NaN	True	NaN	NaN	NaN	Low
IL1B	NaN	True	NaN	NaN	NaN	Low
IL1R2	NaN	True	NaN	NaN	NaN	Low
IL1RAP	NaN	True	NaN	NaN	NaN	Low
IL1RAPL1	NaN	NaN	True	NaN	NaN	Low
IL1RL2	NaN	True	NaN	NaN	NaN	Low
IL1RN	NaN	True	NaN	NaN	NaN	Low
IL20RB	NaN	NaN	True	NaN	NaN	Low
IL23A	NaN	True	NaN	NaN	NaN	Low
IL31RA	NaN	True	NaN	NaN	NaN	Low
IL6	True	NaN	NaN	NaN	NaN	Low
ILF3	NaN	NaN	True	NaN	NaN	Low
IMPDH1	NaN	True	NaN	NaN	NaN	Low
IMPDH2	NaN	NaN	NaN	True	NaN	Low
INHBB	NaN	True	NaN	NaN	NaN	Low
INPP4B	NaN	True	NaN	NaN	NaN	Low
INPP5E	NaN	NaN	True	NaN	NaN	Low
INSM1	NaN	NaN	NaN	NaN	True	High
INSR	NaN	NaN	True	NaN	NaN	Low
IP6K2	NaN	NaN	True	NaN	NaN	Low
IP6K3	NaN	True	NaN	NaN	NaN	Low
IPCEF1	NaN	NaN	True	NaN	NaN	Low
IPMK	NaN	True	NaN	NaN	NaN	Low
IQCA1	NaN	True	NaN	NaN	NaN	Low
IQCB1	NaN	True	NaN	NaN	NaN	Low
IQCK	NaN	True	NaN	NaN	NaN	Low
IRAK3	NaN	True	NaN	NaN	NaN	Low
IRF1	NaN	True	NaN	NaN	NaN	Low
IRF2	NaN	True	NaN	NaN	NaN	Low
IRF7	NaN	True	NaN	NaN	NaN	Low
IRS2	NaN	True	NaN	NaN	NaN	Low
ISM1	NaN	True	True	NaN	NaN	Medium
ITCH	NaN	True	NaN	NaN	NaN	Low
ITGA5	NaN	True	NaN	NaN	NaN	Low
ITGA6	NaN	True	NaN	NaN	NaN	Low
ITGAX	NaN	True	NaN	NaN	NaN	Low
ITK	NaN	True	NaN	NaN	NaN	Low
ITPK1	NaN	True	NaN	NaN	NaN	Low
ITPKB	NaN	True	True	NaN	NaN	Medium
JAK1	NaN	True	NaN	NaN	NaN	Low
JHY	NaN	NaN	True	NaN	NaN	Low
JUN	True	NaN	NaN	True	NaN	Medium
JUNB	NaN	True	NaN	NaN	NaN	Low
JUND	True	NaN	NaN	True	NaN	Medium
KANK1	NaN	True	True	NaN	NaN	Medium
KANSL1	NaN	NaN	True	NaN	NaN	Low
KAT6A	NaN	NaN	True	NaN	NaN	Low
KAZN	NaN	NaN	True	NaN	NaN	Low
KBTBD2	NaN	NaN	True	NaN	NaN	Low
KCNA2	NaN	NaN	NaN	True	NaN	Low
KCNB2	NaN	NaN	True	NaN	NaN	Low
KCND2	True	NaN	NaN	True	NaN	Medium
KCNE3	NaN	True	NaN	NaN	NaN	Low
KCNE4	NaN	True	NaN	NaN	NaN	Low
KCNF1	NaN	NaN	True	NaN	NaN	Low
KCNG1	NaN	True	NaN	NaN	NaN	Low
KCNH2	NaN	True	True	NaN	NaN	Medium
KCNH5	NaN	NaN	True	NaN	NaN	Low
KCNH6	NaN	True	NaN	NaN	NaN	Low
KCNH7	True	True	NaN	NaN	NaN	Medium
KCNH8	NaN	True	NaN	NaN	NaN	Low
KCNIP4	NaN	NaN	True	NaN	NaN	Low
KCNJ1	NaN	True	NaN	NaN	NaN	Low
